month,total_demand_gwh,avg_demand_gw,peak_demand_gw
2024-09-01,11264.302,15.644863888888889,21.546
2024-10-01,10949.216,14.71668817204301,17.998
2024-11-01,11248.652,15.623127777777778,19.26
2024-12-01,12806.403,17.212907258064515,20.929
2025-01-01,13563.432,18.23041935483871,21.94
2025-02-01,12181.126,18.126675595238094,21.302
2025-03-01,11988.832,16.114021505376346,20.301
2025-04-01,10762.945,14.948534722222222,19.492
2025-05-01,10677.319,14.370550471063256,18.153
2025-06-01,11796.265,16.383701388888888,24.862
2025-07-01,13838.122,18.59962634408602,24.528
2025-08-01,12864.235,17.290638440860217,24.789
2025-09-01,11217.314,15.579602777777778,19.931
2025-10-01,11227.735,15.091041666666667,20.335
2025-11-01,11945.01,16.590291666666666,19.731
2025-12-01,13525.161,18.178979838709676,21.406
2026-01-01,13878.533,18.653942204301075,22.042
2026-02-01,12248.614,18.227104166666667,21.601
2026-03-01,12516.169,16.822807795698925,20.395
2026-04-01,11019.91,15.305430555555555,18.461
2026-05-01,11054.917,14.85875940860215,20.82
2026-06-01,8226.634,16.290364356435642,22.044
